id,Y,X1,X2,X3,X4,year,X5,X6,status,D7,elem,D8,D9,D10,D11,D12
39,319.9,1.92,7,2.1,3,2004,3.4,2,act,1,parker,0,0,0,0,1
40,355,2.129,5,2,3,2003,3.3,2,pen,0,parker,0,0,0,0,1
41,285,2.235,7,3.1,4,1975,0.5,2,act,1,crest,0,0,0,1,0
42,242,2.279,5,2.1,4,1949,-2.1,1,sld,0,parker,0,0,0,0,1
43,197,1.85,3,2,4,1964,-0.6,1,sld,0,edge,0,0,0,0,0
44,281.8,1.886,4,2,3,2005,3.5,2,sld,0,edison,1,0,0,0,0
45,259,2.08,2,2,4,1969,-0.1,2,pen,0,edge,0,0,0,0,0
46,189.5,1.906,3,2.1,3,1975,0.5,0,sld,0,edge,0,0,0,0,0
47,339.9,2.048,5,2,2,1993,2.3,3,pen,0,edge,0,0,0,0,0
48,297,2.106,4,2.1,3,1995,2.5,2,sld,0,edge,0,0,0,0,0
49,295,2.028,4,3,5,1992,2.2,2,sld,0,edge,0,0,0,0,0
50,222.5,1.794,4,2,3,1960,-1,0,sld,0,crest,0,0,0,1,0
51,199,2.016,3,2,5,1963,-0.7,1,pen,0,edge,0,0,0,0,0
52,385.5,1.904,4,1.1,3,1919,-5.1,1,sld,0,edison,1,0,0,0,0
53,230,2.234,3,3,4,1972,0.2,2,sld,0,edge,0,0,0,0,0
54,285,2.269,3,3.1,4,1905,-6.5,0,sld,0,edison,1,0,0,0,0
55,243,1.81,4,3,3,1961,-0.9,2,sld,0,edge,0,0,0,0,0
56,217,1.875,4,2,3,1961,-0.9,0,sld,0,edge,0,0,0,0,0
57,259.9,1.683,5,2.1,3,1979,0.9,1,act,1,harris,0,1,0,0,0
58,349.5,2.08,4,2.1,3,2005,3.5,2,act,1,harris,0,1,0,0,0
59,345,2.126,1,3.1,3,2005,3.5,2,act,1,harris,0,1,0,0,0
60,336,2.126,1,3.1,3,2005,3.5,2,pen,0,harris,0,1,0,0,0
61,333.8,2.126,1,3.1,3,2005,3.5,2,act,1,harris,0,1,0,0,0
62,340,2.126,1,3.1,3,2005,3.5,2,sld,0,harris,0,1,0,0,0
63,345,2.126,1,3.1,3,2005,3.5,2,sld,0,harris,0,1,0,0,0
64,374.5,1.712,5,1.1,3,1908,-6.2,2,pen,0,edison,1,0,0,0,0
65,236.5,1.95,4,3,4,1966,-0.4,2,pen,0,edge,0,0,0,0,0
66,350,2.02,7,2,3,1976,0.6,2,pen,0,harris,0,1,0,0,0
67,270,2.053,3,2.1,3,1977,0.7,2,act,1,edge,0,0,0,0,0
68,299,1.743,3,2,3,1988,1.8,2,act,1,harris,0,1,0,0,0
69,285,1.878,5,2.1,3,1975,0.5,2,act,1,crest,0,0,0,1,0
70,255,1.9,4,2,3,1980,1,2,sld,0,parker,0,0,0,0,1
71,259,2.208,4,3,3,1979,0.9,2,act,1,parker,0,0,0,0,1
72,249.9,2.081,5,2.1,4,1970,0,1,sld,0,harris,0,1,0,0,0
73,215,2.044,1,1.1,4,1936,-3.4,0,sld,0,parker,0,0,0,0,1
74,435,2.253,11,2,3,1979,0.9,2,sld,0,edge,0,0,0,0,0
75,274.9,1.861,4,2,4,1995,2.5,2,act,1,parker,0,0,0,0,1
76,349.5,2.896,4,3,5,1979,0.9,2,act,1,crest,0,0,0,1,0
77,,1.879,4,2.1,3,1975,0.5,2,act,1,parker,0,0,0,0,1
