id,name,price,cost,Y,Yalternate,X1,X2,X3,X4,X5,type,D6,D7,D8,D9,D10,drive,D11,D12
28,Nissan Sentra 1.8 4dr,"12,740","12,205",28,35,2.513,1.26,1.8,4,1.00,sedan,0,0,0,0,0,fwd,0,0
29,Nissan Sentra 1.8 S 4dr,"14,740","13,747",28,35,2.581,1.26,1.8,4,1.00,sedan,0,0,0,0,0,fwd,0,0
30,Pontiac Sunfire 1SA 2dr,"15,495","14,375",24,33,2.771,1.40,2.2,4,1.04,sedan,0,0,0,0,0,fwd,0,0
31,Saturn Ion1 4dr,"10,995","10,319",26,35,2.692,1.40,2.2,4,1.03,sedan,0,0,0,0,0,fwd,0,0
32,Saturn Ion2 4dr,"14,300","13,393",26,35,2.692,1.40,2.2,4,1.03,sedan,0,0,0,0,0,fwd,0,0
33,Saturn Ion3 4dr,"15,825","14,811",26,35,2.692,1.40,2.2,4,1.03,sedan,0,0,0,0,0,fwd,0,0
34,Saturn Ion2 quad coupe 2dr,"14,850","13,904",26,35,2.751,1.40,2.2,4,1.03,sedan,0,0,0,0,0,fwd,0,0
35,Saturn Ion3 quad coupe 2dr,"16,350","15,299",26,35,2.751,1.40,2.2,4,1.03,sedan,0,0,0,0,0,fwd,0,0
36,Scion xA 4dr hatch,"12,965","12,340",32,38,2.340,1.08,1.5,4,0.93,sedan,0,0,0,0,0,fwd,0,0
37,Suzuki Aerio S 4dr,"12,884","12,719",25,31,2.676,1.55,2.3,4,0.98,sedan,0,0,0,0,0,fwd,0,0
38,Suzuki Aerio LX 4dr,"14,500","14,317",25,31,2.676,1.55,2.3,4,0.98,sedan,0,0,0,0,0,fwd,0,0
39,Suzuki Forenza S 4dr,"12,269","12,116",24,31,2.701,1.19,2.0,4,1.02,sedan,0,0,0,0,0,fwd,0,0
40,Suzuki Forenza EX 4dr,"15,568","15,378",22,30,2.756,1.19,2.0,4,1.02,sedan,0,0,0,0,0,fwd,0,0
41,Toyota Corolla CE 4dr,"14,085","13,065",32,40,2.502,1.30,1.8,4,1.02,sedan,0,0,0,0,0,fwd,0,0
42,Toyota Corolla S 4dr,"15,030","13,650",32,40,2.524,1.30,1.8,4,1.02,sedan,0,0,0,0,0,fwd,0,0
43,Toyota Corolla LE 4dr,"15,295","13,889",32,40,2.524,1.30,1.8,4,1.02,sedan,0,0,0,0,0,fwd,0,0
44,Toyota Echo 2dr manual,"10,760","10,144",35,43,2.035,1.08,1.5,4,0.93,sedan,0,0,0,0,0,fwd,0,0
45,Toyota Echo 2dr auto,"11,560","10,896",33,39,2.085,1.08,1.5,4,0.93,sedan,0,0,0,0,0,fwd,0,0
46,Toyota Echo 4dr,"11,290","10,642",35,43,2.055,1.08,1.5,4,0.93,sedan,0,0,0,0,0,fwd,0,0
47,Buick Century Custom 4dr,"22,180","20,351",20,30,3.353,1.75,3.1,6,1.09,sedan,0,0,0,0,0,fwd,0,0
48,Chevrolet Impala 4dr,"21,900","20,095",21,32,3.465,1.80,3.4,6,1.11,sedan,0,0,0,0,0,fwd,0,0
49,Chevrolet Malibu 4dr,"18,995","17,434",24,34,3.174,1.45,2.2,4,1.06,sedan,0,0,0,0,0,fwd,0,0
50,Chevrolet Malibu LS 4dr,"20,370","18,639",22,30,3.297,2.00,3.5,6,1.06,sedan,0,0,0,0,0,fwd,0,0
51,Chevrolet Monte Carlo LS 2dr,"21,825","20,026",21,32,3.340,1.80,3.4,6,1.11,sedan,0,0,0,0,0,fwd,0,0
52,Chrysler PT Cruiser 4dr,"17,985","16,919",22,29,3.101,1.50,2.4,4,1.03,sedan,0,0,0,0,0,fwd,0,0
53,Chrysler PT Cruiser Limited 4dr,"22,000","20,573",22,29,3.105,1.50,2.4,4,1.03,sedan,0,0,0,0,0,fwd,0,0
54,Chrysler Sebring 4dr,"19,090","17,805",22,30,3.173,1.50,2.4,4,1.08,sedan,0,0,0,0,0,fwd,0,0
55,Chrysler Sebring Touring 4dr,"21,840","20,284",21,28,3.222,2.00,2.7,6,1.08,sedan,0,0,0,0,0,fwd,0,0
56,Dodge Intrepid SE 4dr,"22,035","20,502",21,29,3.469,2.00,2.7,6,1.13,sedan,0,0,0,0,0,fwd,0,0
57,Dodge Stratus SXT 4dr,"18,820","17,512",21,28,3.182,1.50,2.4,4,1.08,sedan,0,0,0,0,0,fwd,0,0
58,Dodge Stratus SE 4dr,"20,220","18,821",21,28,3.175,1.50,2.4,4,1.08,sedan,0,0,0,0,0,fwd,0,0
59,Ford Focus SVT 2dr,"19,135","17,878",21,28,2.750,1.70,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
60,Ford Taurus LX 4dr,"20,320","18,881",20,27,3.306,1.55,3.0,6,1.09,sedan,0,0,0,0,0,fwd,0,0
61,Ford Taurus SES Duratec 4dr,"22,735","20,857",19,26,3.313,2.01,3.0,6,1.09,sedan,0,0,0,0,0,fwd,0,0
62,Honda Accord LX 2dr,"19,860","17,924",26,34,2.994,1.60,2.4,4,1.05,sedan,0,0,0,0,0,fwd,0,0
63,Honda Accord EX 2dr,"22,260","20,080",26,34,3.047,1.60,2.4,4,1.05,sedan,0,0,0,0,0,fwd,0,0
64,Honda Civic EX 4dr,"17,750","16,265",32,37,2.601,1.27,1.7,4,1.03,sedan,0,0,0,0,0,fwd,0,0
65,Honda Civic Si 2dr hatch,"19,490","17,849",26,30,2.782,1.60,2.0,4,1.01,sedan,0,0,0,0,0,fwd,0,0
66,Hyundai Sonata GLS 4dr,"19,339","17,574",19,27,3.217,1.70,2.7,6,1.06,sedan,0,0,0,0,0,fwd,0,0
67,Hyundai Sonata LX 4dr,"20,339","18,380",19,27,3.217,1.70,2.7,6,1.06,sedan,0,0,0,0,0,fwd,0,0
68,Kia Optima LX V6 4dr,"18,435","16,850",20,27,3.279,1.70,2.7,6,1.06,sedan,0,0,0,0,0,fwd,0,0
69,Mazda 6i 4dr,"19,270","17,817",24,32,3.042,1.60,2.3,4,1.05,sedan,0,0,0,0,0,fwd,0,0
70,Mercury Sable GS 4dr,"21,595","19,848",20,27,3.308,1.55,3.0,6,1.09,sedan,0,0,0,0,0,fwd,0,0
71,Mini Cooper S,"19,999","18,137",25,34,2.678,1.63,1.6,4,0.97,sedan,0,0,0,0,0,fwd,0,0
72,Nissan Altima S 4dr,"19,240","18,030",21,26,3.039,1.75,2.5,4,1.10,sedan,0,0,0,0,0,fwd,0,0
73,Nissan Sentra SE-R 4dr,"17,640","16,444",23,28,2.761,1.65,2.5,4,1.00,sedan,0,0,0,0,0,fwd,0,0
74,Oldsmobile Alero GX 2dr,"18,825","17,642",24,32,2.946,1.40,2.2,4,1.07,sedan,0,0,0,0,0,fwd,0,0
75,Pontiac Grand Am GT 2dr,"22,450","20,595",20,29,3.118,1.75,3.4,6,1.07,sedan,0,0,0,0,0,fwd,0,0
76,Pontiac Grand Prix GT1 4dr,"22,395","20,545",20,30,3.477,2.00,3.8,6,1.11,sedan,0,0,0,0,0,fwd,0,0
77,Pontiac Sunfire 1SC 2dr,"17,735","16,369",24,33,2.771,1.40,2.2,4,1.04,sedan,0,0,0,0,0,fwd,0,0
78,Saturn L300-2 4dr,"21,410","19,801",20,28,3.197,1.82,3.0,6,1.07,sedan,0,0,0,0,0,fwd,0,0
79,Subaru Impreza 2.5 RS 4dr,"19,945","18,399",22,28,2.965,1.65,2.5,4,0.99,sedan,0,0,0,0,0,awd,1,0
80,Subaru Legacy L 4dr,"20,445","18,713",21,28,3.285,1.65,2.5,4,1.04,sedan,0,0,0,0,0,awd,1,0
81,Suzuki Verona LX 4dr,"17,262","17,053",20,27,3.380,1.55,2.5,6,1.06,sedan,0,0,0,0,0,fwd,0,0
82,Toyota Camry LE 4dr,"19,560","17,558",24,33,3.086,1.57,2.4,4,1.07,sedan,0,0,0,0,0,fwd,0,0
83,Toyota Camry LE V6 4dr,"22,775","20,325",21,29,3.296,2.10,3.0,6,1.07,sedan,0,0,0,0,0,fwd,0,0
84,Toyota Camry Solara SE 2dr,"19,635","17,722",24,33,3.175,1.57,2.4,4,1.07,sedan,0,0,0,0,0,fwd,0,0
85,Toyota Camry Solara SE V6 2dr,"21,965","19,819",20,29,3.417,2.25,3.3,6,1.07,sedan,0,0,0,0,0,fwd,0,0
86,Volkswagen Golf GLS 4dr,"18,715","17,478",24,31,2.897,1.15,2.0,4,0.99,sedan,0,0,0,0,0,fwd,0,0
87,Volkswagen GTI 1.8T 2dr hatch,"19,825","18,109",24,31,2.934,1.80,1.8,4,0.99,sedan,0,0,0,0,0,fwd,0,0
88,Volkswagen Jetta GLS TDI 4dr,"21,055","19,638",38,46,3.003,1.00,1.9,4,0.99,sedan,0,0,0,0,0,fwd,0,0
89,Volkswagen New Beetle GLS 1.8T 2dr,"21,055","19,638",24,31,2.820,1.50,1.8,4,0.99,sedan,0,0,0,0,0,fwd,0,0
90,Acura RSX Type S 2dr,"23,820","21,761",24,31,2.778,2.00,2.0,4,1.01,sedan,0,0,0,0,0,fwd,0,0
91,Acura TSX 4dr,"26,990","24,647",22,29,3.230,2.00,2.4,4,1.05,sedan,0,0,0,0,0,fwd,0,0
92,Audi A4 1.8T 4dr,"25,940","23,508",22,31,3.252,1.70,1.8,4,1.04,sedan,0,0,0,0,0,fwd,0,0
93,BMW 325i 4dr,"28,495","26,155",20,29,3.219,1.84,2.5,6,1.07,sedan,0,0,0,0,0,rwd,0,1
94,Buick LeSabre Custom 4dr,"26,470","24,282",20,29,3.567,2.05,3.8,6,1.12,sedan,0,0,0,0,0,fwd,0,0
95,Buick Regal LS 4dr,"24,895","22,835",20,30,3.461,2.00,3.8,6,1.09,sedan,0,0,0,0,0,fwd,0,0
96,Buick Regal GS 4dr,"28,345","26,047",18,28,3.536,2.40,3.8,6,1.09,sedan,0,0,0,0,0,fwd,0,0
97,Chevrolet Impala LS 4dr,"25,000","22,931",20,30,3.476,2.00,3.8,6,1.11,sedan,0,0,0,0,0,fwd,0,0
98,Chevrolet Impala SS 4dr,"27,995","25,672",18,28,3.606,2.40,3.8,6,1.11,sedan,0,0,0,0,0,fwd,0,0
99,Chevrolet Malibu LT 4dr,"23,495","21,551",23,32,3.315,2.00,3.5,6,1.06,sedan,0,0,0,0,0,fwd,0,0
100,Chevrolet Monte Carlo SS 2dr,"24,225","22,222",18,28,3.434,2.00,3.8,6,1.11,sedan,0,0,0,0,0,fwd,0,0
101,Chrysler 300M 4dr,"29,865","27,797",18,27,3.581,2.50,3.5,6,1.13,sedan,0,0,0,0,0,fwd,0,0
102,Chrysler Concorde LX 4dr,"24,130","22,452",21,29,3.479,2.00,2.7,6,1.13,sedan,0,0,0,0,0,fwd,0,0
103,Chrysler Concorde LXi 4dr,"26,860","24,909",19,27,3.548,2.32,3.5,6,1.13,sedan,0,0,0,0,0,fwd,0,0
104,Chrysler PT Cruiser GT 4dr,"25,955","24,172",21,27,3.217,2.20,2.4,4,1.03,sedan,0,0,0,0,0,fwd,0,0
105,Chrysler Sebring convertible 2dr,"25,215","23,451",22,30,3.357,1.50,2.4,4,1.06,sedan,0,0,0,0,0,fwd,0,0
106,Dodge Intrepid ES 4dr,"24,885","23,058",18,27,3.487,2.32,3.5,6,1.13,sedan,0,0,0,0,0,fwd,0,0
107,Ford Crown Victoria 4dr,"24,345","22,856",17,25,4.057,2.24,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
108,Ford Crown Victoria LX 4dr,"27,370","25,105",17,25,4.057,2.24,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
109,Honda Accord LX V6 4dr,"23,760","21,428",21,30,3.349,2.40,3.0,6,1.08,sedan,0,0,0,0,0,fwd,0,0
110,Honda Accord EX V6 2dr,"26,960","24,304",21,30,3.294,2.40,3.0,6,1.05,sedan,0,0,0,0,0,fwd,0,0
111,Hyundai XG350 4dr,"24,589","22,055",17,26,3.651,1.94,3.5,6,1.08,sedan,0,0,0,0,0,fwd,0,0
112,Hyundai XG350 L 4dr,"26,189","23,486",17,26,3.651,1.94,3.5,6,1.08,sedan,0,0,0,0,0,fwd,0,0
113,Infiniti G35 4dr,"28,495","26,157",18,26,3.336,2.60,3.5,6,1.12,sedan,0,0,0,0,0,rwd,0,1
114,Infiniti G35 Sport Coupe 2dr,"29,795","27,536",18,26,3.416,2.80,3.5,6,1.12,sedan,0,0,0,0,0,rwd,0,1
115,Jaguar X-Type 2.5 4dr,"29,995","27,355",18,26,3.428,1.92,2.5,6,1.07,sedan,0,0,0,0,0,awd,1,0
116,Mercedes-Benz C230 Sport 2dr,"26,060","24,249",22,30,3.250,1.89,1.8,4,1.07,sedan,0,0,0,0,0,rwd,0,1
117,Mercedes-Benz C320 Sport 2dr,"28,370","26,435",19,26,3.430,2.15,3.2,6,1.07,sedan,0,0,0,0,0,rwd,0,1
118,Mercury Grand Marquis GS 4dr,"24,695","23,217",17,25,4.052,2.24,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
119,Mercury Grand Marquis LS Premium 4dr,"29,595","27,148",17,25,4.052,2.24,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
120,Mercury Sable LS Premium 4dr,"23,895","21,918",19,26,3.315,2.01,3.0,6,1.09,sedan,0,0,0,0,0,fwd,0,0
121,Mitsubishi Diamante LS 4dr,"29,282","27,250",18,25,3.549,2.05,3.5,6,1.07,sedan,0,0,0,0,0,fwd,0,0
122,Mitsubishi Galant GTS 4dr,"25,700","23,883",18,26,3.649,2.30,3.8,6,1.08,sedan,0,0,0,0,0,fwd,0,0
123,Nissan Altima SE 4dr,"23,290","21,580",21,26,3.197,2.45,3.5,6,1.10,sedan,0,0,0,0,0,fwd,0,0
124,Nissan Maxima SE 4dr,"27,490","25,182",20,28,3.473,2.65,3.5,6,1.11,sedan,0,0,0,0,0,fwd,0,0
125,Nissan Maxima SL 4dr,"29,440","26,966",20,28,3.476,2.65,3.5,6,1.11,sedan,0,0,0,0,0,fwd,0,0
126,Oldsmobile Alero GLS 2dr,"23,675","21,485",20,29,3.085,1.70,3.4,6,1.07,sedan,0,0,0,0,0,fwd,0,0
127,Pontiac Grand Prix GT2 4dr,"24,295","22,284",20,30,3.484,2.00,3.8,6,1.11,sedan,0,0,0,0,0,fwd,0,0
128,Subaru Legacy GT 4dr,"25,645","23,336",21,28,3.395,1.65,2.5,4,1.04,sedan,0,0,0,0,0,awd,1,0
129,Subaru Outback Limited Sedan 4dr,"27,145","24,687",20,27,3.495,1.65,2.5,4,1.04,sedan,0,0,0,0,0,awd,1,0
130,Subaru Outback H6 4dr,"29,345","26,660",19,26,3.610,2.12,3.0,6,1.04,sedan,0,0,0,0,0,awd,1,0
131,Toyota Avalon XL 4dr,"26,560","23,693",21,29,3.417,2.10,3.0,6,1.07,sedan,0,0,0,0,0,fwd,0,0
132,Toyota Camry XLE V6 4dr,"25,920","23,125",21,29,3.362,2.10,3.0,6,1.07,sedan,0,0,0,0,0,fwd,0,0
133,Toyota Camry Solara SLE V6 2dr,"26,510","23,908",20,29,3.439,2.25,3.3,6,1.07,sedan,0,0,0,0,0,fwd,0,0
134,Volkswagen Jetta GLI VR6 4dr,"23,785","21,686",21,30,3.179,2.00,2.8,6,0.99,sedan,0,0,0,0,0,fwd,0,0
135,Volkswagen New Beetle GLS convertible 2dr,"23,215","21,689",24,30,3.082,1.15,2.0,4,0.99,sedan,0,0,0,0,0,fwd,0,0
136,Volkswagen Passat GLS 4dr,"23,955","21,898",22,31,3.241,1.70,1.8,4,1.06,sedan,0,0,0,0,0,fwd,0,0
137,Volvo S40 4dr,"25,135","23,701",22,29,2.767,1.70,1.9,4,1.01,sedan,0,0,0,0,0,fwd,0,0
138,Acura TL 4dr,"33,195","30,299",20,28,3.575,2.70,3.2,6,1.08,sedan,0,0,0,0,0,fwd,0,0
139,Audi A4 1.8T convertible 2dr,"35,940","32,506",23,30,3.638,1.70,1.8,4,1.05,sedan,0,0,0,0,0,fwd,0,0
140,Audi A4 3.0 4dr,"31,840","28,846",20,28,3.462,2.20,3.0,6,1.04,sedan,0,0,0,0,0,fwd,0,0
141,Audi A4 3.0 Quattro 4dr manual,"33,430","30,366",17,26,3.583,2.20,3.0,6,1.04,sedan,0,0,0,0,0,awd,1,0
142,Audi A4 3.0 Quattro 4dr auto,"34,480","31,388",18,25,3.627,2.20,3.0,6,1.04,sedan,0,0,0,0,0,awd,1,0
143,Audi A6 3.0 4dr,"36,640","33,129",20,27,3.561,2.20,3.0,6,1.09,sedan,0,0,0,0,0,fwd,0,0
144,Audi A6 3.0 Quattro 4dr,"39,640","35,992",18,25,3.880,2.20,3.0,6,1.09,sedan,0,0,0,0,0,awd,1,0
145,BMW 325Ci 2dr,"30,795","28,245",20,29,3.197,1.84,2.5,6,1.07,sedan,0,0,0,0,0,rwd,0,1
146,BMW 325Ci convertible 2dr,"37,995","34,800",19,27,3.560,1.84,2.5,6,1.07,sedan,0,0,0,0,0,rwd,0,1
147,BMW 325xi 4dr,"30,245","27,745",19,27,3.461,1.84,2.5,6,1.07,sedan,0,0,0,0,0,awd,1,0
148,BMW 330i 4dr,"35,495","32,525",20,30,3.285,2.25,3.0,6,1.07,sedan,0,0,0,0,0,rwd,0,1
149,BMW 330Ci 2dr,"36,995","33,890",20,30,3.285,2.25,3.0,6,1.07,sedan,0,0,0,0,0,rwd,0,1
150,BMW 330xi 4dr,"37,245","34,115",20,29,3.483,2.25,3.0,6,1.07,sedan,0,0,0,0,0,awd,1,0
151,BMW 525i 4dr,"39,995","36,620",19,28,3.428,1.84,2.5,6,1.14,sedan,0,0,0,0,0,rwd,0,1
152,Buick LeSabre Limited 4dr,"32,245","29,566",20,29,3.591,2.05,3.8,6,1.12,sedan,0,0,0,0,0,fwd,0,0
153,Buick Park Avenue 4dr,"35,545","32,244",20,29,3.778,2.05,3.8,6,1.14,sedan,0,0,0,0,0,fwd,0,0
154,Cadillac CTS VVT 4dr,"30,835","28,575",18,25,3.694,2.55,3.6,6,1.13,sedan,0,0,0,0,0,rwd,0,1
155,Chrysler 300M Special Edition 4dr,"33,295","30,884",18,27,3.650,2.55,3.5,6,1.13,sedan,0,0,0,0,0,fwd,0,0
156,Chrysler Sebring Limited convertible 2dr,"30,950","28,613",21,28,3.448,2.00,2.7,6,1.06,sedan,0,0,0,0,0,fwd,0,0
157,Ford Crown Victoria LX Sport 4dr,"30,315","27,756",17,25,4.057,2.39,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
158,Infiniti G35 4dr,"32,445","29,783",18,26,3.677,2.60,3.5,6,1.12,sedan,0,0,0,0,0,awd,1,0
159,Infiniti I35 4dr,"31,145","28,320",19,26,3.306,2.55,3.5,6,1.08,sedan,0,0,0,0,0,fwd,0,0
160,Jaguar X-Type 3.0 4dr,"33,995","30,995",18,25,3.516,2.27,3.0,6,1.07,sedan,0,0,0,0,0,awd,1,0
161,Lexus ES 330 4dr,"32,350","28,755",20,29,3.460,2.25,3.3,6,1.07,sedan,0,0,0,0,0,fwd,0,0
162,Lexus IS 300 4dr manual,"31,045","27,404",18,25,3.255,2.15,3.0,6,1.05,sedan,0,0,0,0,0,rwd,0,1
163,Lexus IS 300 4dr auto,"32,415","28,611",18,24,3.285,2.15,3.0,6,1.05,sedan,0,0,0,0,0,rwd,0,1
164,Lincoln LS V6 Luxury 4dr,"32,495","29,969",20,26,3.681,2.32,3.0,6,1.15,sedan,0,0,0,0,0,rwd,0,1
165,Lincoln LS V6 Premium 4dr,"36,895","33,929",20,26,3.681,2.32,3.0,6,1.15,sedan,0,0,0,0,0,rwd,0,1
166,Mercedes-Benz C240 4dr,"32,280","30,071",20,25,3.360,1.68,2.6,6,1.07,sedan,0,0,0,0,0,rwd,0,1
167,Mercedes-Benz C240 4dr,"33,480","31,187",19,25,3.360,1.68,2.6,6,1.07,sedan,0,0,0,0,0,awd,1,0
168,Mercedes-Benz C320 Sport 4dr,"35,920","33,456",19,26,3.430,2.15,3.2,6,1.07,sedan,0,0,0,0,0,rwd,0,1
169,Mercedes-Benz C320 4dr,"37,630","35,046",20,26,3.450,2.15,3.2,6,1.07,sedan,0,0,0,0,0,rwd,0,1
170,Mercury Grand Marquis LS Ultimate 4dr,"30,895","28,318",17,25,4.052,2.24,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
171,Mercury Marauder 4dr,"34,495","31,558",17,23,4.195,3.02,4.6,8,1.15,sedan,0,0,0,0,0,rwd,0,1
172,Saab 9-3 Arc Sport 4dr,"30,860","29,269",20,28,3.175,2.10,2.0,4,1.05,sedan,0,0,0,0,0,fwd,0,0
173,Saab 9-3 Aero 4dr,"33,360","31,562",20,28,3.175,2.10,2.0,4,1.05,sedan,0,0,0,0,0,fwd,0,0
174,Saab 9-5 Arc 4dr,"35,105","33,011",21,29,3.470,2.20,2.3,4,1.06,sedan,0,0,0,0,0,fwd,0,0
175,Saab 9-5 Aero 4dr,"39,465","37,721",21,29,3.470,2.50,2.3,4,1.06,sedan,0,0,0,0,0,fwd,0,0
176,Subaru Outback H-6 VDC 4dr,"31,545","28,603",19,26,3.630,2.12,3.0,6,1.04,sedan,0,0,0,0,0,awd,1,0
177,Toyota Avalon XLS 4dr,"30,920","27,271",21,29,3.439,2.10,3.0,6,1.07,sedan,0,0,0,0,0,fwd,0,0
178,Volkswagen Passat GLX V6 4MOTION 4dr,"33,180","30,583",19,26,3.721,1.90,2.8,6,1.06,sedan,0,0,0,0,0,fwd,0,0
179,Volkswagen Passat W8 4MOTION 4dr,"39,235","36,052",18,25,3.953,2.70,4.0,8,1.06,sedan,0,0,0,0,0,fwd,0,0
180,Volvo S60 2.5 4dr,"31,745","29,916",20,27,3.903,2.08,2.5,5,1.07,sedan,0,0,0,0,0,awd,1,0
181,Volvo S60 T5 4dr,"34,845","32,902",20,28,3.766,2.47,2.3,5,1.07,sedan,0,0,0,0,0,fwd,0,0
182,Volvo S60 R 4dr,"37,560","35,382",18,25,3.571,3.00,2.5,5,1.07,sedan,0,0,0,0,0,awd,1,0
183,Volvo S80 2.9 4dr,"37,730","35,542",20,28,3.576,2.08,2.9,6,1.10,sedan,0,0,0,0,0,fwd,0,0
184,Volvo S80 2.5T 4dr,"37,885","35,688",20,27,3.691,1.94,2.5,5,1.10,sedan,0,0,0,0,0,awd,1,0
185,Acura 3.5 RL 4dr,"43,755","39,014",18,24,3.880,2.25,3.5,6,1.15,sedan,0,0,0,0,0,fwd,0,0
186,Acura 3.5 RL w/Navigation 4dr,"46,100","41,100",18,24,3.893,2.25,3.5,6,1.15,sedan,0,0,0,0,0,fwd,0,0
187,Audi A4 3.0 convertible 2dr,"42,490","38,325",20,27,3.814,2.20,3.0,6,1.05,sedan,0,0,0,0,0,fwd,0,0
188,Audi A4 3.0 Quattro convertible 2dr,"44,240","40,075",18,25,4.013,2.20,3.0,6,1.05,sedan,0,0,0,0,0,awd,1,0
189,Audi A6 2.7 Turbo Quattro 4dr,"42,840","38,840",18,25,3.836,2.50,2.7,6,1.09,sedan,0,0,0,0,0,awd,1,0
190,Audi A6 4.2 Quattro 4dr,"49,690","44,936",17,24,4.024,3.00,4.2,8,1.09,sedan,0,0,0,0,0,awd,1,0
191,Audi A8 L Quattro 4dr,"69,190","64,740",17,24,4.399,3.30,4.2,8,1.21,sedan,0,0,0,0,0,awd,1,0
192,Audi S4 Quattro 4dr,"48,040","43,556",14,20,3.825,3.40,4.2,8,1.04,sedan,0,0,0,0,0,awd,1,0
193,BMW 330Ci convertible 2dr,"44,295","40,530",19,28,3.616,2.25,3.0,6,1.07,sedan,0,0,0,0,0,rwd,0,1
194,BMW 530i 4dr,"44,995","41,170",20,30,3.472,2.25,3.0,6,1.14,sedan,0,0,0,0,0,rwd,0,1
195,BMW 545iA 4dr,"54,995","50,270",18,26,3.814,3.25,4.4,8,1.14,sedan,0,0,0,0,0,rwd,0,1
